protocol,epoch,train_loss,train_macro_f1,val_loss,val_macro_f1,val_accuracy,train_samples_effective,train_augmented_samples
combined_random,1,1.182003325095247,0.5809966402861473,0.9735800475759697,0.6842446145118076,0.6896348645465253,15842,7921
combined_random,2,0.9411585072708949,0.7053887537976858,0.9075656190637424,0.7341317650315539,0.7355712603062426,15842,7921
combined_random,3,0.8233039981186232,0.7642566145961004,0.8799069706346178,0.7379032193561121,0.7373380447585395,15842,7921
combined_random,4,0.7574394646617684,0.7973610647458701,0.8756166334287017,0.739338957730521,0.7408716136631331,15842,7921
combined_random,5,0.7046713923477883,0.8230747906987288,0.8585612719836869,0.752189435594108,0.7526501766784452,15842,7921
combined_random,6,0.6494885861249061,0.8437731492248921,0.8337536810845734,0.7725590966682817,0.7714958775029447,15842,7921
combined_random,7,0.612201776006068,0.865323661325371,0.8343174688526823,0.7674629961325339,0.7661955241460542,15842,7921
combined_random,8,0.569817232364748,0.8825807244671201,0.8755766158952027,0.761745560577439,0.7638398115429917,15842,7921
combined_random,9,0.541817184974563,0.8960266670437297,0.893417713428695,0.7521993994417991,0.7526501766784452,15842,7921
combined_random,10,0.4701645139709685,0.9273936252747598,0.8258777024187104,0.7891904753129162,0.7891637220259128,15842,7921
combined_random,11,0.4418411240510275,0.9408404865936782,0.8369564524247313,0.7845414369642438,0.7850412249705536,15842,7921
combined_random,12,0.4224482083949698,0.9478001271595217,0.8317298163935208,0.7867498148019583,0.7868080094228505,15842,7921
combined_random,13,0.39855418231523093,0.9573063692267714,0.853508507124246,0.789928972200172,0.7885747938751473,15842,7921
combined_random,14,0.39051204424677377,0.960625389563273,0.8633388800390758,0.7918179726288791,0.7921083627797408,15842,7921
combined_random,15,0.37833758260456996,0.9638514750140446,0.863235824591139,0.787910169054371,0.7873969375736161,15842,7921
combined_random,16,0.3698845859910936,0.9692798486517599,0.8633310842570203,0.7961887301354406,0.7962308598351001,15842,7921
combined_random,17,0.3725303299889663,0.9674623153323901,0.9023279455019813,0.785902506146105,0.7862190812720848,15842,7921
combined_random,18,0.36103493836082273,0.9721056677852976,0.876565575950699,0.7888943934711555,0.7873969375736161,15842,7921
combined_random,19,0.3507857490347395,0.9775510973317937,0.9199383002568752,0.7847753910016336,0.784452296819788,15842,7921
combined_random,20,0.3350985738352504,0.9832241779905021,0.9104892685219593,0.7859392287220913,0.7850412249705536,15842,7921
combined_random,21,0.3224659259760866,0.9887715198891499,0.9274954989605152,0.7823820628564544,0.7820965842167256,15842,7921
combined_random,22,0.32200644904127507,0.9886060046561105,0.9120265072731584,0.7857493892210616,0.7850412249705536,15842,7921
combined_random,23,0.3155384831296993,0.9920605721510118,0.8949095751427649,0.7895087407908897,0.7891637220259128,15842,7921
combined_strict_no_tess,1,1.33392517866862,0.4924221181054542,1.2676521169645922,0.5577242503949718,0.5567423230974633,12430,6215
combined_strict_no_tess,2,1.0240627167115552,0.6668622704777502,1.2222041562498014,0.5949227430520015,0.5941255006675568,12430,6215
combined_strict_no_tess,3,0.9224418832329331,0.7209326698970625,1.1667759490904408,0.6309532079042779,0.6261682242990654,12430,6215
combined_strict_no_tess,4,0.8353194725292878,0.7586257513237434,1.2045325725196359,0.6380872062846684,0.6341789052069426,12430,6215
combined_strict_no_tess,5,0.759033432049034,0.7987928884018697,1.2137853645673582,0.6302432951038199,0.6288384512683578,12430,6215
combined_strict_no_tess,6,0.6890504972069664,0.8332843753059493,1.1725949391981312,0.6637081080229026,0.6622162883845126,12430,6215
combined_strict_no_tess,7,0.6405474581453748,0.8515538120454855,1.2659562603335515,0.6354024546124717,0.630173564753004,12430,6215
combined_strict_no_tess,8,0.6097304873761877,0.869750133174167,1.3255186332402147,0.6308774706579253,0.6248331108144193,12430,6215
combined_strict_no_tess,9,0.5612499447762727,0.8874144967545776,1.3256450677427336,0.6213826209088021,0.616822429906542,12430,6215
combined_strict_no_tess,10,0.48014002498943575,0.9245889542599565,1.2380309194843664,0.6751790526327343,0.6742323097463284,12430,6215
combined_strict_no_tess,11,0.4429342708852343,0.9381224812988073,1.2961727565375762,0.6649328422290539,0.6622162883845126,12430,6215
combined_strict_no_tess,12,0.41776212764572734,0.9504069327439089,1.302285261879935,0.6537826020958195,0.6488651535380507,12430,6215
combined_strict_no_tess,13,0.40795982243644546,0.953494848923896,1.3823891141226836,0.6479323928140467,0.6395193591455274,12430,6215
combined_strict_no_tess,14,0.3747271960383927,0.9681328971619036,1.3024646909596604,0.67010277188333,0.6662216288384513,12430,6215
combined_strict_no_tess,15,0.3667105396284946,0.9751448758989892,1.3613797207381602,0.6602250677701744,0.6528704939919893,12430,6215
combined_strict_no_tess,16,0.35789012261580194,0.9755474278270516,1.345938815214287,0.666578308149759,0.6622162883845126,12430,6215
combined_strict_no_tess,17,0.34407695506909924,0.982131165539668,1.2972471966285095,0.6781460326906997,0.6728971962616822,12430,6215
combined_strict_no_tess,18,0.33361583185694627,0.9853601932158375,1.335986359415449,0.6667283552752991,0.6622162883845126,12430,6215
combined_strict_no_tess,19,0.33820986666222874,0.9838911007831315,1.3166829185269384,0.6726623652563384,0.6688918558077437,12430,6215
combined_strict_no_tess,20,0.3307430458375742,0.9857797479992993,1.3432010897647872,0.6691233212492124,0.6635514018691588,12430,6215
combined_strict_no_tess,21,0.3264176936659809,0.9883290330765179,1.3257632675731135,0.6805205344564511,0.6755674232309746,12430,6215
combined_strict_no_tess,22,0.32232049061996937,0.9895840459137691,1.3381087632777695,0.6738889623062541,0.6688918558077437,12430,6215
combined_strict_no_tess,23,0.32189166989426216,0.9901520272551787,1.3209015923603196,0.6784508539565103,0.6728971962616822,12430,6215
combined_strict_no_tess,24,0.31999323488912174,0.9905975704885436,1.3462323395209574,0.678148634496791,0.6728971962616822,12430,6215
combined_strict_no_tess,25,0.31674745158619777,0.9913315412227067,1.3381020114004851,0.6762599466835627,0.6702269692923899,12430,6215
combined_strict_no_tess,26,0.3157780049601008,0.991402372833945,1.3340162599039014,0.6723869928761467,0.6662216288384513,12430,6215
combined_strict_no_tess,27,0.31185187628359345,0.9932248605505034,1.3581704381947841,0.6739917824263718,0.6675567423230975,12430,6215
combined_strict_no_tess,28,0.3151212766682632,0.9923097779894309,1.3478022773211724,0.6756639696764754,0.6702269692923899,12430,6215
